study_accession	n_runs	reference	run_accession	checked_runs	library_layout
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270964	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270965	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270966	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270967	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270968	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270969	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270970	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270971	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270972	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270973	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270974	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270975	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270976	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270977	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270978	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270979	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270980	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270981	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270982	yes	paired
SRP041592	12	"(Donlin, 2014, 10.1128/mBio.01573-14)"	SRR1266824	yes	single
SRP041592	12	"(Donlin, 2014, 10.1128/mBio.01573-14)"	SRR1266825	yes	single
SRP041592	12	"(Donlin, 2014, 10.1128/mBio.01573-14)"	SRR1266826	yes	single
SRP041592	12	"(Donlin, 2014, 10.1128/mBio.01573-14)"	SRR1266827	yes	single
SRP041592	12	"(Donlin, 2014, 10.1128/mBio.01573-14)"	SRR1266828	yes	single
SRP041592	12	"(Donlin, 2014, 10.1128/mBio.01573-14)"	SRR1266829	yes	single
SRP041592	12	"(Donlin, 2014, 10.1128/mBio.01573-14)"	SRR1266830	yes	single
SRP041592	12	"(Donlin, 2014, 10.1128/mBio.01573-14)"	SRR1266831	yes	single
SRP041592	12	"(Donlin, 2014, 10.1128/mBio.01573-14)"	SRR1266832	yes	single
SRP041592	12	"(Donlin, 2014, 10.1128/mBio.01573-14)"	SRR1266833	yes	single
SRP041592	12	"(Donlin, 2014, 10.1128/mBio.01573-14)"	SRR1266834	yes	single
SRP041592	12	"(Donlin, 2014, 10.1128/mBio.01573-14)"	SRR1266835	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549166	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549167	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549168	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549169	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549170	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549171	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549172	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549173	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549174	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549175	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549176	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549177	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549178	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549179	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549180	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549181	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549182	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549183	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549184	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549185	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549186	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549187	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549188	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549189	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549190	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549191	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549192	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549193	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549194	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549195	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549196	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549197	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549198	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549199	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549200	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549201	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549202	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549203	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549204	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549205	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549206	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549207	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549208	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549209	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549210	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549211	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549212	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549213	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549214	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549215	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549216	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549217	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549218	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549219	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549220	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549221	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549222	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549223	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549224	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549225	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549226	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549227	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549228	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549229	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549230	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549231	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549232	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549233	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549234	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549235	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549236	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549237	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549238	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549239	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549240	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549241	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549242	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549243	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549244	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549245	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549246	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549247	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549248	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549249	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549250	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549251	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549252	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549253	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549254	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549255	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549256	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549257	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549258	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549259	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549260	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549261	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549262	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549263	yes	single
