study_accession	taxon_id	study_title	n	Reference	PI	Comment
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP097868	NA	Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide	64	NA	NA	NA
SRP056448	5207	Cryptococcus neoformans Genome sequencing	60	Broad Institute: 2-Dec-2014 	NA	NA
SRP126733	NA	Spliceosome profiling visualizes the operations of a dynamic RNP in vivo at nucleotide resolution	56	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	(Gish, 2016, 10.1128/mBio.00313-16)	Tamara L Doering, Michael R Brent	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP059269	5207	Usv101 is a key regulator of cryptococcal virulence  and determinant of host response	52	NA	NA	NA
SRP073615	4932	Investigating Conservation of the Cell-Cycle-Regulated Transcriptional Program in the Fungal Pathogen, Cryptococcus neoformans	50	(Kelliher, 2016, 10.1371/journal.pgen.1006453)	Steven B. Haase	nice cell cycle dataset
SRP041551	5207	Cryptococcus neoformans var. grubii H99 Transcriptome or Gene expression	48	(Chang, 2013, 10.1371/journal.pgen.1004292)	Kyung J. Kwon-Chung	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
SRP107007	NA	Cryptococcus neoformans var. grubii KN99 genome sequencing and annotation	39	NA	NA	NA
